gen000,   0.9155,   2.9507,   9.0925,   3.1457,   7.1487,   4.8338,   4.0557,   3.8447,   0.2552,   3.4295, 
gen001,   1.7244,   4.5786,   6.5887,   2.8252,   1.4026,   4.7851,   1.4745,   7.1797,   1.8332,   3.3483, 
gen002,   1.2351,   7.8535,   7.8777,   1.1775,   6.1487,   9.9129,   2.7566,   8.9851,   3.5768,   6.5992, 
gen003,   0.8051,   9.5570,   9.8098,   7.6963,   2.8889,   7.9384,   6.5922,   7.3689,   0.5381,   1.1276, 
gen004,   4.2900,   6.0774,   0.9816,   7.9144,   9.2351,   3.0654,   1.3038,   4.6376,   6.2881,   0.4271, 
gen005,   8.1608,   4.7155,   4.9100,   3.6067,   6.6015,   1.4190,   0.6386,   2.6496,   7.8478,   2.9892, 
gen006,   5.5188,   6.6253,   7.6380,   9.1821,   2.3730,   0.0662,   8.2259,   4.2876,   1.3401,   5.7008, 
gen007,   5.4473,   3.0966,   5.8955,   9.5264,   9.0337,   8.8148,   5.8427,   5.4911,   4.0904,   6.7467, 
gen008,   4.7169,   9.3296,   7.4318,   3.9885,   0.5268,   0.6311,   1.8246,   5.6458,   9.1486,   7.5082, 
gen009,   4.5110,   3.2209,   7.8255,   8.2860,   6.0967,   9.7621,   6.0263,   7.7354,   6.0496,   9.8066, 
gen010,   4.5108,   7.4599,   2.9702,   5.8841,   9.4698,   6.5477,   3.9794,   7.6036,   9.5727,   4.2931, 
gen011,   7.6405,   0.2548,   3.2857,   0.6142,   1.8139,   1.4788,   9.8767,   4.7465,   2.7716,   9.8122, 
gen012,   5.9655,   7.7001,   1.9675,   2.6091,   3.9522,   7.8476,   5.5162,   7.4844,   3.5010,   2.7047, 
gen013,   6.4288,   4.4558,   0.3022,   4.5819,   7.0143,   9.8622,   0.7688,   1.8397,   4.0252,   1.9155, 
gen014,   0.6094,   1.2088,   7.8526,   0.5087,   4.2769,   5.3607,   6.9259,   0.2987,   4.8967,   5.1711, 
gen015,   6.0283,   6.9221,   2.6738,   9.8444,   5.3786,   6.9033,   1.4295,   5.3069,   4.1785,   4.8652, 
gen016,   8.8684,   9.4619,   3.4031,   1.3720,   7.9309,   2.0331,   7.1321,   0.1771,   5.0103,   6.8342, 
gen017,   4.3312,   3.5736,   7.2565,   1.7494,   8.8000,   2.5207,   3.2865,   5.3200,   9.0696,   1.1330, 
gen018,   5.7295,   2.4197,   3.3658,   8.1301,   3.6170,   6.4531,   0.3628,   6.6812,   8.1368,   9.5613, 
gen019,   0.3730,   5.1291,   2.3320,   4.7221,   7.6538,   9.1090,   5.9055,   4.7887,   8.2594,   1.1513, 
gen020,   1.0400,   5.9044,   4.8249,   2.3211,   3.7691,   4.8195,   1.0422,   7.5902,   8.2900,   8.7516, 
gen021,   5.4782,   2.1650,   7.4503,   4.0528,   2.9896,   1.5114,   8.6682,   1.5133,   9.0472,   8.7504, 
gen022,   4.8621,   7.3421,   6.5232,   8.2955,   3.1186,   9.8622,   9.0526,   0.9789,   4.0034,   5.3115, 
gen023,   8.7579,   7.8365,   0.1086,   8.3599,   8.0417,   4.5132,   4.9746,   5.2074,   5.4092,   4.1075, 
gen024,   6.8814,   7.4281,   8.0622,   4.0230,   0.3610,   6.8047,   3.4126,   1.0125,   4.6120,   3.7778, 
gen025,   2.6358,   8.0088,   5.1044,   1.7876,   8.8670,   1.1514,   7.9295,   1.4420,   1.4903,   2.5470, 
gen026,   2.6875,   4.1164,   0.9851,   4.4506,   6.2523,   8.5083,   3.4935,   2.7460,   5.2148,   5.0775, 
gen027,   2.8447,   6.2907,   3.1967,   7.8514,   6.2369,   1.3118,   8.8000,   6.7603,   0.6089,   0.8670, 
gen028,   1.7251,   3.1727,   0.1871,   5.1456,   5.3493,   7.6034,   3.0611,   8.3239,   9.4606,   9.8933, 
gen029,   9.2394,   0.3454,   5.8129,   8.7113,   1.2916,   1.1478,   2.9309,   5.9565,   1.8557,   1.6620, 
